"SRA_SampleID" "SRA_Accession" "Sample_ID" "Island" "Site" "Lat" "Long" "Host_ID" "Colony_Color" "FWD_Filename" "REV_Filename"
"CHPd62_BiPb62" "SRR11142655" "CHPd62" "Peros Banhos" "BiPb62" -5.42721 71.77779 "P. acuta" "healthy" "SRR11142655_pass_1.fastq.gz" "SRR11142655_pass_2.fastq.gz"
"CHPd63_BiPb62" "SRR11142654" "CHPd63" "Peros Banhos" "BiPb62" -5.42721 71.77779 "P. acuta" "healthy" "SRR11142654_pass_1.fastq.gz" "SRR11142654_pass_2.fastq.gz"
"CHPd64_BiPb62" "SRR11142653" "CHPd64" "Peros Banhos" "BiPb62" -5.42721 71.77779 "P. acuta" "healthy" "SRR11142653_pass_1.fastq.gz" "SRR11142653_pass_2.fastq.gz"
"CHPd65_BiPb62" "SRR11142652" "CHPd65" "Peros Banhos" "BiPb62" -5.42721 71.77779 "P. acuta" "bleached" "SRR11142652_pass_1.fastq.gz" "SRR11142652_pass_2.fastq.gz"
"CHPd66_BiPb62" "SRR11142650" "CHPd66" "Peros Banhos" "BiPb62" -5.42721 71.77779 "P. acuta" "healthy" "SRR11142650_pass_1.fastq.gz" "SRR11142650_pass_2.fastq.gz"
"CHPd67_BiPb62" "SRR11142649" "CHPd67" "Peros Banhos" "BiPb62" -5.42721 71.77779 "P. acuta" "bleached" "SRR11142649_pass_1.fastq.gz" "SRR11142649_pass_2.fastq.gz"
"CHPd71_BiPb63" "SRR11142647" "CHPd71" "Peros Banhos" "BiPb63" -5.41518 71.77499 "P. acuta" "healthy" "SRR11142647_pass_1.fastq.gz" "SRR11142647_pass_2.fastq.gz"
"CHPd72_BiPb63" "SRR11142646" "CHPd72" "Peros Banhos" "BiPb63" -5.41518 71.77499 "P. acuta" "healthy" "SRR11142646_pass_1.fastq.gz" "SRR11142646_pass_2.fastq.gz"
"CHPd73_BiPb63" "SRR11142645" "CHPd73" "Peros Banhos" "BiPb63" -5.41518 71.77499 "P. acuta" "healthy" "SRR11142645_pass_1.fastq.gz" "SRR11142645_pass_2.fastq.gz"
"CHPd75_BiPb65" "SRR11142644" "CHPd75" "Peros Banhos" "BiPb65" -5.41077 71.80349 "P. acuta" "healthy" "SRR11142644_pass_1.fastq.gz" "SRR11142644_pass_2.fastq.gz"
"CHPd76_BiPb65" "SRR11142643" "CHPd76" "Peros Banhos" "BiPb65" -5.41077 71.80349 "P. acuta" "bleached" "SRR11142643_pass_1.fastq.gz" "SRR11142643_pass_2.fastq.gz"
"CHPd77_BiPb65" "SRR11142642" "CHPd77" "Peros Banhos" "BiPb65" -5.41077 71.80349 "P. acuta" "healthy" "SRR11142642_pass_1.fastq.gz" "SRR11142642_pass_2.fastq.gz"
"CHPd78_BiPb65" "SRR11142641" "CHPd78" "Peros Banhos" "BiPb65" -5.41077 71.80349 "P. acuta" "healthy" "SRR11142641_pass_1.fastq.gz" "SRR11142641_pass_2.fastq.gz"
"CHPd79_BiPb65" "SRR11142639" "CHPd79" "Peros Banhos" "BiPb65" -5.41077 71.80349 "P. acuta" "bleached" "SRR11142639_pass_1.fastq.gz" "SRR11142639_pass_2.fastq.gz"
"CHPd81_BiPb68" "SRR11142637" "CHPd81" "Peros Banhos" "BiPb68" -5.2563 71.76861 "P. acuta" "healthy" "SRR11142637_pass_1.fastq.gz" "SRR11142637_pass_2.fastq.gz"
"CHPd88_BiPb68" "SRR11142630" "CHPd88" "Peros Banhos" "BiPb68" -5.2563 71.76861 "P. acuta" "bleached" "SRR11142630_pass_1.fastq.gz" "SRR11142630_pass_2.fastq.gz"
"CHPd89_BiPb68" "SRR11142628" "CHPd89" "Peros Banhos" "BiPb68" -5.2563 71.76861 "P. acuta" "bleached" "SRR11142628_pass_1.fastq.gz" "SRR11142628_pass_2.fastq.gz"
"CHPd99_BiPb70" "SRR11142617" "CHPd99" "Peros Banhos" "BiPb70" -5.32515 71.85739 "P. acuta" "bleached" "SRR11142617_pass_1.fastq.gz" "SRR11142617_pass_2.fastq.gz"
