"SampleID","Sampling_Site","pH","Sponge_Species","Acidified","Bleaching_Status","Description","Group","Sample","Latitude","Longitude","Collection_Date"
"DNA_CAC_CC1","CAC",7,"Crambe","Acidified","Normal","CrambeCAC","CC1","CAC.CC1",40.73198,13.96386,"09_04_2018"
"DNA_CAC_CC2","CAC",7,"Crambe","Acidified","Normal","CrambeCAC","CC1","CAC.CC2",40.73198,13.96386,"09_04_2018"
"DNA_CAC_CC3","CAC",7,"Crambe","Acidified","Normal","CrambeCAC","CC1","CAC.CC3",40.73198,13.96386,"09_04_2018"
"DNA_CAC_CC4","CAC",7,"Crambe","Acidified","Normal","CrambeCAC","CC1","CAC.CC4",40.73198,13.96386,"09_04_2018"
"DNA_CAC_CC5","CAC",7,"Crambe","Acidified","Normal","CrambeCAC","CC1","CAC.CC5",40.73198,13.96386,"09_04_2018"
"DNA_CAC_CR1","CAC",7,"Chondrosia","Acidified","Normal","ChondrosiaCAC","CR1","CAC.CR1",40.73198,13.96386,"09_04_2018"
"DNA_CAC_CR2","CAC",7,"Chondrosia","Acidified","Normal","ChondrosiaCAC","CR1","CAC.CR2",40.73198,13.96386,"09_04_2018"
"DNA_CAC_CR3","CAC",7,"Chondrosia","Acidified","Normal","ChondrosiaCAC","CR1","CAC.CR3",40.73198,13.96386,"09_04_2018"
"DNA_CAC_CR4","CAC",7,"Chondrosia","Acidified","Normal","ChondrosiaCAC","CR1","CAC.CR4",40.73198,13.96386,"09_04_2018"
"DNA_CAC_CR5","CAC",7,"Chondrosia","Acidified","Normal","ChondrosiaCAC","CR1","CAC.CR5",40.73198,13.96386,"09_04_2018"
"DNA_CAC_PF1","CAC",7,"Petrosia","Acidified","Normal","PetrosiaCAC","PF1","CAC.PF1",40.73198,13.96386,"09_04_2018"
"DNA_CAC_PF3","CAC",7,"Petrosia","Acidified","Normal","PetrosiaCAC","PF1","CAC.PF3",40.73198,13.96386,"09_04_2018"
"DNA_CAC_PF5","CAC",7,"Petrosia","Acidified","Normal","PetrosiaCAC","PF1","CAC.PF5",40.73198,13.96386,"09_04_2018"
"DNA_CAC_SW1","CAC",7,"Seawater","Acidified","Normal","SeawaterCAC","SW1","CAC.SW1",40.73198,13.96386,"09_04_2018"
"DNA_CAC_SW2","CAC",7,"Seawater","Acidified","Normal","SeawaterCAC","SW1","CAC.SW2",40.73198,13.96386,"09_04_2018"
"DNA_CCO_CC1","CCO",8,"Crambe","Control","Normal","CrambeCCO","CC4","CCO.CC1",40.73219,13.96469,"12_04_2018"
"DNA_CCO_CC2","CCO",8,"Crambe","Control","Normal","CrambeCCO","CC4","CCO.CC2",40.73219,13.96469,"12_04_2018"
"DNA_CCO_CC3","CCO",8,"Crambe","Control","Normal","CrambeCCO","CC4","CCO.CC3",40.73219,13.96469,"12_04_2018"
"DNA_CCO_CC4","CCO",8,"Crambe","Control","Normal","CrambeCCO","CC4","CCO.CC4",40.73219,13.96469,"12_04_2018"
"DNA_CCO_CC5","CCO",8,"Crambe","Control","Normal","CrambeCCO","CC4","CCO.CC5",40.73219,13.96469,"12_04_2018"
"DNA_CCO_CR1","CCO",8,"Chondrosia","Control","Normal","ChondrosiaCCO","CR4","CCO.CR1",40.73219,13.96469,"12_04_2018"
"DNA_CCO_CR2","CCO",8,"Chondrosia","Control","Normal","ChondrosiaCCO","CR4","CCO.CR2",40.73219,13.96469,"12_04_2018"
"DNA_CCO_CR3","CCO",8,"Chondrosia","Control","Normal","ChondrosiaCCO","CR4","CCO.CR3",40.73219,13.96469,"12_04_2018"
"DNA_CCO_CR4","CCO",8,"Chondrosia","Control","Normal","ChondrosiaCCO","CR4","CCO.CR4",40.73219,13.96469,"12_04_2018"
"DNA_CCO_CR5","CCO",8,"Chondrosia","Control","Normal","ChondrosiaCCO","CR4","CCO.CR5",40.73219,13.96469,"12_04_2018"
"DNA_CCO_PF1","CCO",8,"Petrosia","Control","Normal","PetrosiaCCO","PF4","CCO.PF1",40.73219,13.96469,"12_04_2018"
"DNA_CCO_PF2","CCO",8,"Petrosia","Control","Normal","PetrosiaCCO","PF4","CCO.PF2",40.73219,13.96469,"12_04_2018"
"DNA_CCO_PF3","CCO",8,"Petrosia","Control","Normal","PetrosiaCCO","PF4","CCO.PF3",40.73219,13.96469,"12_04_2018"
"DNA_CCO_PF4","CCO",8,"Petrosia","Control","Normal","PetrosiaCCO","PF4","CCO.PF4",40.73219,13.96469,"12_04_2018"
"DNA_CCO_PF5","CCO",8,"Petrosia","Control","Normal","PetrosiaCCO","PF4","CCO.PF5",40.73219,13.96469,"12_04_2018"
"DNA_CCO_SW1","CCO",8,"Seawater","Control","Normal","SeawaterCCO","SW4","CCO.SW1",40.73219,13.96469,"12_04_2018"
"DNA_CCO_SW2","CCO",8,"Seawater","Control","Normal","SeawaterCCO","SW4","CCO.SW2",40.73219,13.96469,"12_04_2018"
"DNA_CCO_SW3","CCO",8,"Seawater","Control","Normal","SeawaterCCO","SW4","CCO.SW3",40.73219,13.96469,"12_04_2018"
"DNA_GF_CC1","GF",8,"Crambe","Control","Normal","CrambeGF","CC6","GF.CC1",40.71156,13.96428,"24_04_2018"
"DNA_GF_CC2","GF",8,"Crambe","Control","Normal","CrambeGF","CC6","GF.CC2",40.71156,13.96428,"24_04_2018"
"DNA_GF_CC3","GF",8,"Crambe","Control","Normal","CrambeGF","CC6","GF.CC3",40.71156,13.96428,"24_04_2018"
"DNA_GF_CC4","GF",8,"Crambe","Control","Normal","CrambeGF","CC6","GF.CC4",40.71156,13.96428,"24_04_2018"
"DNA_GF_CC5","GF",8,"Crambe","Control","Normal","CrambeGF","CC6","GF.CC5",40.71156,13.96428,"24_04_2018"
"DNA_GF_CN1","GF",8,"Chondrilla","Control","Normal","ChondrillaGF","CN6","GF.CN1",40.71156,13.96428,"24_04_2018"
"DNA_GF_CN2","GF",8,"Chondrilla","Control","Normal","ChondrillaGF","CN6","GF.CN2",40.71156,13.96428,"24_04_2018"
"DNA_GF_CN3","GF",8,"Chondrilla","Control","Normal","ChondrillaGF","CN6","GF.CN3",40.71156,13.96428,"24_04_2018"
"DNA_GF_CN4","GF",8,"Chondrilla","Control","Normal","ChondrillaGF","CN6","GF.CN4",40.71156,13.96428,"24_04_2018"
"DNA_GF_CN5","GF",8,"Chondrilla","Control","Normal","ChondrillaGF","CN6","GF.CN5",40.71156,13.96428,"24_04_2018"
"DNA_GF_CR1","GF",8,"Chondrosia","Control","Normal","ChondrosiaGF","CR6","GF.CR1",40.71156,13.96428,"24_04_2018"
"DNA_GF_CR2","GF",8,"Chondrosia","Control","Normal","ChondrosiaGF","CR6","GF.CR2",40.71156,13.96428,"24_04_2018"
"DNA_GF_CR3","GF",8,"Chondrosia","Control","Normal","ChondrosiaGF","CR6","GF.CR3",40.71156,13.96428,"24_04_2018"
"DNA_GF_CR4","GF",8,"Chondrosia","Control","Normal","ChondrosiaGF","CR6","GF.CR4",40.71156,13.96428,"24_04_2018"
"DNA_GF_CR5","GF",8,"Chondrosia","Control","Normal","ChondrosiaGF","CR6","GF.CR5",40.71156,13.96428,"24_04_2018"
"DNA_GF_PF1","GF",8,"Petrosia","Control","Normal","PetrosiaGF","PF6","GF.PF1",40.71156,13.96428,"24_04_2018"
"DNA_GF_SW1","GF",8,"Seawater","Control","Normal","SeawaterGF","SW6","GF.SW1",40.71156,13.96428,"24_04_2018"
